V3C99_004653	Hcon5G00000007610.2
V3C99_004654	Hcon5G00000007611.2
V3C99_004656	Hcon5G00000007613.1
V3C99_004656	Hcon5G00000007613.2
V3C99_004662	Hcon5G00000007619.1
V3C99_004687	Hcon5G00000007644.1
V3C99_004687	Hcon5G00000007644.2
V3C99_004693	Hcon5G00000007650.4
V3C99_004696	Hcon5G00000007653.1
V3C99_004697	Hcon5G00000007654.1
V3C99_004697	Hcon5G00000007654.2
V3C99_004698	Hcon5G00000007655.1
V3C99_004699	Hcon5G00000007656.2
V3C99_004702	Hcon5G00000007659.1
V3C99_004702	Hcon5G00000007659.2
V3C99_004706	Hcon5G00000007663.3
V3C99_004712	Hcon5G00000007669.2
V3C99_004730	Hcon5G00000007687.1
V3C99_004732	Hcon5G00000007689.1
V3C99_004734	Hcon5G00000007691.1
V3C99_004751	Hcon5G00000007708.1
V3C99_004754	Hcon5G00000007711.1
V3C99_004771	Hcon5G00000007728.2
V3C99_004771	Hcon5G00000007728.1
V3C99_004771	Hcon5G00000007728.3
V3C99_004781	Hcon5G00000007738.1
V3C99_004789	Hcon5G00000007746.1
V3C99_004789	Hcon5G00000007746.2
V3C99_004806	Hcon5G00000007763.2
V3C99_004832	Hcon5G00000007789.1
V3C99_004844	Hcon5G00000007801.2
V3C99_004846	Hcon5G00000007803.1
V3C99_004846	Hcon5G00000007803.2
V3C99_004863	Hcon5G00000007820.1
V3C99_004871	Hcon5G00000007828.1
V3C99_004874	Hcon5G00000007831.1
V3C99_004876	Hcon5G00000007833.1
V3C99_004881	Hcon5G00000007838.1
V3C99_004881	Hcon5G00000007838.3
V3C99_004881	Hcon5G00000007838.2
V3C99_004881	Hcon5G00000007838.4
V3C99_004883	Hcon5G00000007840.1
V3C99_004900	Hcon5G00000007857.1
V3C99_004901	Hcon5G00000007858.1
V3C99_004904	Hcon5G00000007861.1
V3C99_004904	Hcon5G00000007861.3
V3C99_004904	Hcon5G00000007861.2
V3C99_004908	Hcon5G00000007865.1
V3C99_004908	Hcon5G00000007865.2
V3C99_004909	Hcon5G00000007866.1
V3C99_004915	Hcon5G00000007872.1
V3C99_004920	Hcon5G00000007877.1
V3C99_004920	Hcon5G00000007877.2
V3C99_004921	Hcon5G00000007878.2
